product_cd	category_major_cd	category_major_name	category_medium_cd	category_medium_name	category_small_cd	category_small_name	unit_price	unit_cost
P040203001	04	惣菜	0402	佃煮類	040203	野菜佃煮類	188.0	141.0
P040203002	04	惣菜	0402	佃煮類	040203	野菜佃煮類	428.0	321.0
P040204001	04	惣菜	0402	佃煮類	040204	豆佃煮類	158.0	119.0
P040204002	04	惣菜	0402	佃煮類	040204	豆佃煮類	188.0	141.0
P040204003	04	惣菜	0402	佃煮類	040204	豆佃煮類	188.0	141.0
P040204004	04	惣菜	0402	佃煮類	040204	豆佃煮類	188.0	141.0
P040204005	04	惣菜	0402	佃煮類	040204	豆佃煮類	198.0	149.0
P040204006	04	惣菜	0402	佃煮類	040204	豆佃煮類	198.0	149.0
P040204007	04	惣菜	0402	佃煮類	040204	豆佃煮類	198.0	149.0
P040204008	04	惣菜	0402	佃煮類	040204	豆佃煮類	198.0	149.0
P040204009	04	惣菜	0402	佃煮類	040204	豆佃煮類	398.0	299.0
P040301001	04	惣菜	0403	サラダ類	040301	サラダ類	248.0	186.0
P040301002	04	惣菜	0403	サラダ類	040301	サラダ類	248.0	186.0
P040301003	04	惣菜	0403	サラダ類	040301	サラダ類	278.0	209.0
P040301004	04	惣菜	0403	サラダ類	040301	サラダ類	298.0	224.0
P040301005	04	惣菜	0403	サラダ類	040301	サラダ類	298.0	224.0
P040401001	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	118.0	89.0
P040401002	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	138.0	104.0
P040401003	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	198.0	149.0
P040401004	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	228.0	171.0
P040401005	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	228.0	171.0
P040401006	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	248.0	186.0
P040401007	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	258.0	194.0
P040401008	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	278.0	209.0
P040401009	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	278.0	209.0
P040401010	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	298.0	224.0
P040401011	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	298.0	224.0
P040401012	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	338.0	254.0
P040401013	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	358.0	269.0
P040401014	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	398.0	299.0
P040401015	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	398.0	299.0
P040401016	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	398.0	299.0
P040401017	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	398.0	299.0
P040401018	04	惣菜	0404	和風惣菜	040401	炒め・煮物類	398.0	299.0
P040402001	04	惣菜	0404	和風惣菜	040402	和え物	228.0	171.0
P040403001	04	惣菜	0404	和風惣菜	040403	酢の物	198.0	149.0
P040403002	04	惣菜	0404	和風惣菜	040403	酢の物	248.0	186.0
P040403003	04	惣菜	0404	和風惣菜	040403	酢の物	248.0	186.0
P040403004	04	惣菜	0404	和風惣菜	040403	酢の物	248.0	186.0
P040403005	04	惣菜	0404	和風惣菜	040403	酢の物	248.0	186.0
P040403006	04	惣菜	0404	和風惣菜	040403	酢の物	278.0	209.0
P040403007	04	惣菜	0404	和風惣菜	040403	酢の物	298.0	224.0
P040403008	04	惣菜	0404	和風惣菜	040403	酢の物	298.0	224.0
P040404001	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	180.0	135.0
P040404002	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	198.0	149.0
P040404003	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	198.0	149.0
P040404004	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	235.0	176.0
P040404005	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	248.0	186.0
P040404006	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	278.0	209.0
P040404007	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	278.0	209.0
P040404008	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	288.0	216.0
P040404009	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	338.0	254.0
P040404010	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	398.0	299.0
P040404011	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	478.0	359.0
P040404012	04	惣菜	0404	和風惣菜	040404	その他和風惣菜	548.0	411.0
P040501001	04	惣菜	0405	フライ物	040501	フライ物	100.0	75.0
P040501002	04	惣菜	0405	フライ物	040501	フライ物	180.0	135.0
P040501003	04	惣菜	0405	フライ物	040501	フライ物	220.0	165.0
P040501004	04	惣菜	0405	フライ物	040501	フライ物	278.0	209.0
P040501005	04	惣菜	0405	フライ物	040501	フライ物	278.0	209.0
P040501006	04	惣菜	0405	フライ物	040501	フライ物	298.0	224.0
P040501007	04	惣菜	0405	フライ物	040501	フライ物	298.0	224.0
P040501008	04	惣菜	0405	フライ物	040501	フライ物	298.0	224.0
P040501009	04	惣菜	0405	フライ物	040501	フライ物	298.0	224.0
P040501010	04	惣菜	0405	フライ物	040501	フライ物	318.0	239.0
P040502001	04	惣菜	0405	フライ物	040502	唐揚げ類	208.0	156.0
P040502002	04	惣菜	0405	フライ物	040502	唐揚げ類	278.0	209.0
P040502003	04	惣菜	0405	フライ物	040502	唐揚げ類	298.0	224.0
P040502004	04	惣菜	0405	フライ物	040502	唐揚げ類	298.0	224.0
P040502005	04	惣菜	0405	フライ物	040502	唐揚げ類	298.0	224.0
P040502006	04	惣菜	0405	フライ物	040502	唐揚げ類	298.0	224.0
P040502007	04	惣菜	0405	フライ物	040502	唐揚げ類	298.0	224.0
P040503001	04	惣菜	0405	フライ物	040503	天麩羅類	298.0	224.0
P040504001	04	惣菜	0405	フライ物	040504	チキンロースト類	180.0	135.0
P040504002	04	惣菜	0405	フライ物	040504	チキンロースト類	218.0	164.0
P040504003	04	惣菜	0405	フライ物	040504	チキンロースト類	288.0	216.0
P040504004	04	惣菜	0405	フライ物	040504	チキンロースト類	288.0	216.0
P040504005	04	惣菜	0405	フライ物	040504	チキンロースト類	308.0	231.0
P040504006	04	惣菜	0405	フライ物	040504	チキンロースト類	338.0	254.0
P040504007	04	惣菜	0405	フライ物	040504	チキンロースト類	338.0	254.0
P040504008	04	惣菜	0405	フライ物	040504	チキンロースト類	358.0	269.0
P040504009	04	惣菜	0405	フライ物	040504	チキンロースト類	468.0	351.0
P040504010	04	惣菜	0405	フライ物	040504	チキンロースト類	498.0	374.0
P040601001	04	惣菜	0406	洋風惣菜	040601	グラタン・ピザ類	278.0	209.0
P040602001	04	惣菜	0406	洋風惣菜	040602	スナック類	405.0	304.0
P040602002	04	惣菜	0406	洋風惣菜	040602	スナック類	440.0	330.0
P040603001	04	惣菜	0406	洋風惣菜	040603	その他洋風惣菜	1980.0	1485.0
P040701001	04	惣菜	0407	中華惣菜	040701	中華惣菜	208.0	156.0
P040701002	04	惣菜	0407	中華惣菜	040701	中華惣菜	208.0	156.0
P040701003	04	惣菜	0407	中華惣菜	040701	中華惣菜	268.0	201.0
P040701004	04	惣菜	0407	中華惣菜	040701	中華惣菜	278.0	209.0
P040701005	04	惣菜	0407	中華惣菜	040701	中華惣菜	288.0	216.0
P040701006	04	惣菜	0407	中華惣菜	040701	中華惣菜	298.0	224.0
P040701007	04	惣菜	0407	中華惣菜	040701	中華惣菜	298.0	224.0
P040701008	04	惣菜	0407	中華惣菜	040701	中華惣菜	298.0	224.0
P040701009	04	惣菜	0407	中華惣菜	040701	中華惣菜	358.0	269.0
P040801001	04	惣菜	0408	焼き物	040801	うなぎ蒲焼	78.0	59.0
P040801002	04	惣菜	0408	焼き物	040801	うなぎ蒲焼	88.0	66.0
P040801003	04	惣菜	0408	焼き物	040801	うなぎ蒲焼	148.0	111.0
P040801004	04	惣菜	0408	焼き物	040801	うなぎ蒲焼	248.0	186.0
P040801005	04	惣菜	0408	焼き物	040801	うなぎ蒲焼	918.0	689.0
P040802001	04	惣菜	0408	焼き物	040802	その他やきもの	80.0	60.0
P040802002	04	惣菜	0408	焼き物	040802	その他やきもの	100.0	75.0
P040802003	04	惣菜	0408	焼き物	040802	その他やきもの	258.0	194.0
P040802004	04	惣菜	0408	焼き物	040802	その他やきもの	368.0	276.0
P040802005	04	惣菜	0408	焼き物	040802	その他やきもの	368.0	276.0
P040802006	04	惣菜	0408	焼き物	040802	その他やきもの	438.0	329.0
P040802007	04	惣菜	0408	焼き物	040802	その他やきもの		
P041302001	04	惣菜	0413	その他	041302	その他	450.0	338.0
P050101001	05	和日配	0501	水物	050101	豆腐	40.0	30.0
P050101002	05	和日配	0501	水物	050101	豆腐	128.0	96.0
P050101003	05	和日配	0501	水物	050101	豆腐	138.0	104.0
P050101004	05	和日配	0501	水物	050101	豆腐	138.0	104.0
P050101005	05	和日配	0501	水物	050101	豆腐	145.0	109.0
P050101006	05	和日配	0501	水物	050101	豆腐	158.0	119.0
P050101007	05	和日配	0501	水物	050101	豆腐	168.0	126.0
P050101008	05	和日配	0501	水物	050101	豆腐	168.0	126.0
P050101009	05	和日配	0501	水物	050101	豆腐	208.0	156.0
P050102001	05	和日配	0501	水物	050102	油揚げ・がんも	60.0	45.0
P050102002	05	和日配	0501	水物	050102	油揚げ・がんも	138.0	104.0
P050102003	05	和日配	0501	水物	050102	油揚げ・がんも	185.0	139.0
P050102004	05	和日配	0501	水物	050102	油揚げ・がんも	188.0	141.0
P050102005	05	和日配	0501	水物	050102	油揚げ・がんも	198.0	149.0
P050102006	05	和日配	0501	水物	050102	油揚げ・がんも	215.0	161.0
P050103001	05	和日配	0501	水物	050103	コンニャク	78.0	59.0
P050103002	05	和日配	0501	水物	050103	コンニャク	80.0	60.0
P050103003	05	和日配	0501	水物	050103	コンニャク	88.0	66.0
P050103004	05	和日配	0501	水物	050103	コンニャク	110.0	83.0
P050103005	05	和日配	0501	水物	050103	コンニャク	128.0	96.0
P050103006	05	和日配	0501	水物	050103	コンニャク	128.0	96.0
P050103007	05	和日配	0501	水物	050103	コンニャク	128.0	96.0
P050103008	05	和日配	0501	水物	050103	コンニャク	128.0	96.0
P050103009	05	和日配	0501	水物	050103	コンニャク	128.0	96.0
P050103010	05	和日配	0501	水物	050103	コンニャク	130.0	98.0
P050103011	05	和日配	0501	水物	050103	コンニャク	135.0	101.0
P050103012	05	和日配	0501	水物	050103	コンニャク	148.0	111.0
P050103013	05	和日配	0501	水物	050103	コンニャク	148.0	111.0
P050103014	05	和日配	0501	水物	050103	コンニャク	158.0	119.0
P050103015	05	和日配	0501	水物	050103	コンニャク	158.0	119.0
P050103016	05	和日配	0501	水物	050103	コンニャク	165.0	124.0
P050103017	05	和日配	0501	水物	050103	コンニャク	215.0	161.0
P050103018	05	和日配	0501	水物	050103	コンニャク	235.0	176.0
P050103019	05	和日配	0501	水物	050103	コンニャク	245.0	184.0
P050103020	05	和日配	0501	水物	050103	コンニャク	268.0	201.0
P050103021	05	和日配	0501	水物	050103	コンニャク		
P050104001	05	和日配	0501	水物	050104	その他水物	115.0	86.0
P050104002	05	和日配	0501	水物	050104	その他水物	115.0	86.0
P050104003	05	和日配	0501	水物	050104	その他水物	118.0	89.0
P050104004	05	和日配	0501	水物	050104	その他水物	138.0	104.0
P050104005	05	和日配	0501	水物	050104	その他水物	138.0	104.0
P050104006	05	和日配	0501	水物	050104	その他水物	188.0	141.0
P050104007	05	和日配	0501	水物	050104	その他水物	188.0	141.0
P050104008	05	和日配	0501	水物	050104	その他水物	188.0	141.0
P050104009	05	和日配	0501	水物	050104	その他水物	188.0	141.0
P050104010	05	和日配	0501	水物	050104	その他水物	210.0	158.0
P050104011	05	和日配	0501	水物	050104	その他水物	210.0	158.0
P050104012	05	和日配	0501	水物	050104	その他水物	740.0	555.0
P050201001	05	和日配	0502	漬物	050201	ぬか漬け	138.0	104.0
P050201002	05	和日配	0502	漬物	050201	ぬか漬け	188.0	141.0
P050201003	05	和日配	0502	漬物	050201	ぬか漬け	195.0	146.0
P050201004	05	和日配	0502	漬物	050201	ぬか漬け	195.0	146.0
P050201005	05	和日配	0502	漬物	050201	ぬか漬け	198.0	149.0
P050201006	05	和日配	0502	漬物	050201	ぬか漬け	218.0	164.0
P050201007	05	和日配	0502	漬物	050201	ぬか漬け	220.0	165.0
P050201008	05	和日配	0502	漬物	050201	ぬか漬け	228.0	171.0
P050201009	05	和日配	0502	漬物	050201	ぬか漬け	235.0	176.0
P050201010	05	和日配	0502	漬物	050201	ぬか漬け	238.0	179.0
P050201011	05	和日配	0502	漬物	050201	ぬか漬け	450.0	338.0
P050202001	05	和日配	0502	漬物	050202	塩漬け	120.0	90.0
P050202002	05	和日配	0502	漬物	050202	塩漬け	145.0	109.0
P050202003	05	和日配	0502	漬物	050202	塩漬け	155.0	116.0
P050202004	05	和日配	0502	漬物	050202	塩漬け	155.0	116.0
P050202005	05	和日配	0502	漬物	050202	塩漬け	160.0	120.0
P050202006	05	和日配	0502	漬物	050202	塩漬け	185.0	139.0
P050202007	05	和日配	0502	漬物	050202	塩漬け	188.0	141.0
P050202008	05	和日配	0502	漬物	050202	塩漬け	188.0	141.0
P050202009	05	和日配	0502	漬物	050202	塩漬け	198.0	149.0
P050202010	05	和日配	0502	漬物	050202	塩漬け	198.0	149.0
P050202011	05	和日配	0502	漬物	050202	塩漬け	198.0	149.0
P050202012	05	和日配	0502	漬物	050202	塩漬け	198.0	149.0
P050202013	05	和日配	0502	漬物	050202	塩漬け	198.0	149.0
P050202014	05	和日配	0502	漬物	050202	塩漬け	208.0	156.0
P050202015	05	和日配	0502	漬物	050202	塩漬け	208.0	156.0
P050202016	05	和日配	0502	漬物	050202	塩漬け	220.0	165.0
P050202017	05	和日配	0502	漬物	050202	塩漬け	220.0	165.0
P050202018	05	和日配	0502	漬物	050202	塩漬け	228.0	171.0
P050202019	05	和日配	0502	漬物	050202	塩漬け	235.0	176.0
P050202020	05	和日配	0502	漬物	050202	塩漬け	235.0	176.0
P050202021	05	和日配	0502	漬物	050202	塩漬け	235.0	176.0
P050202022	05	和日配	0502	漬物	050202	塩漬け	235.0	176.0
P050202023	05	和日配	0502	漬物	050202	塩漬け	235.0	176.0
P050202024	05	和日配	0502	漬物	050202	塩漬け	268.0	201.0
P050202025	05	和日配	0502	漬物	050202	塩漬け	298.0	224.0
P050202026	05	和日配	0502	漬物	050202	塩漬け	298.0	224.0
P050202027	05	和日配	0502	漬物	050202	塩漬け	308.0	231.0
P050202028	05	和日配	0502	漬物	050202	塩漬け	325.0	244.0
P050202029	05	和日配	0502	漬物	050202	塩漬け	338.0	254.0
P050202030	05	和日配	0502	漬物	050202	塩漬け	378.0	284.0
P050202031	05	和日配	0502	漬物	050202	塩漬け	438.0	329.0
P050202032	05	和日配	0502	漬物	050202	塩漬け	530.0	398.0
P050202033	05	和日配	0502	漬物	050202	塩漬け	618.0	464.0
P050202034	05	和日配	0502	漬物	050202	塩漬け	688.0	516.0
P050202035	05	和日配	0502	漬物	050202	塩漬け	688.0	516.0
P050202036	05	和日配	0502	漬物	050202	塩漬け	960.0	720.0
P050202037	05	和日配	0502	漬物	050202	塩漬け	980.0	735.0
P050203001	05	和日配	0502	漬物	050203	醤油漬け	145.0	109.0
P050203002	05	和日配	0502	漬物	050203	醤油漬け	150.0	113.0
P050203003	05	和日配	0502	漬物	050203	醤油漬け	155.0	116.0
P050203004	05	和日配	0502	漬物	050203	醤油漬け	155.0	116.0
P050203005	05	和日配	0502	漬物	050203	醤油漬け	178.0	134.0
P050203006	05	和日配	0502	漬物	050203	醤油漬け	178.0	134.0
P050203007	05	和日配	0502	漬物	050203	醤油漬け	178.0	134.0
P050203008	05	和日配	0502	漬物	050203	醤油漬け	188.0	141.0
P050203009	05	和日配	0502	漬物	050203	醤油漬け	198.0	149.0
P050203010	05	和日配	0502	漬物	050203	醤油漬け	208.0	156.0
P050203011	05	和日配	0502	漬物	050203	醤油漬け	208.0	156.0
P050203012	05	和日配	0502	漬物	050203	醤油漬け	220.0	165.0
P050203013	05	和日配	0502	漬物	050203	醤油漬け	220.0	165.0
P050203014	05	和日配	0502	漬物	050203	醤油漬け	228.0	171.0
P050203015	05	和日配	0502	漬物	050203	醤油漬け	248.0	186.0
P050203016	05	和日配	0502	漬物	050203	醤油漬け	260.0	195.0
P050203017	05	和日配	0502	漬物	050203	醤油漬け	260.0	195.0
P050203018	05	和日配	0502	漬物	050203	醤油漬け	265.0	199.0
P050203019	05	和日配	0502	漬物	050203	醤油漬け	288.0	216.0
P050203020	05	和日配	0502	漬物	050203	醤油漬け	298.0	224.0
P050203021	05	和日配	0502	漬物	050203	醤油漬け	298.0	224.0
P050203022	05	和日配	0502	漬物	050203	醤油漬け	298.0	224.0
P050203023	05	和日配	0502	漬物	050203	醤油漬け	298.0	224.0
P050203024	05	和日配	0502	漬物	050203	醤油漬け	298.0	224.0
P050203025	05	和日配	0502	漬物	050203	醤油漬け	298.0	224.0
P050203026	05	和日配	0502	漬物	050203	醤油漬け	308.0	231.0
P050203027	05	和日配	0502	漬物	050203	醤油漬け	325.0	244.0
P050203028	05	和日配	0502	漬物	050203	醤油漬け	338.0	254.0
P050204001	05	和日配	0502	漬物	050204	粕漬け	150.0	113.0
P050204002	05	和日配	0502	漬物	050204	粕漬け	155.0	116.0
P050204003	05	和日配	0502	漬物	050204	粕漬け	180.0	135.0
P050204004	05	和日配	0502	漬物	050204	粕漬け	218.0	164.0
P050204005	05	和日配	0502	漬物	050204	粕漬け	218.0	164.0
P050204006	05	和日配	0502	漬物	050204	粕漬け	268.0	201.0
P050204007	05	和日配	0502	漬物	050204	粕漬け	268.0	201.0
P050204008	05	和日配	0502	漬物	050204	粕漬け	295.0	221.0
P050205001	05	和日配	0502	漬物	050205	酢漬け	148.0	111.0
P050205002	05	和日配	0502	漬物	050205	酢漬け	198.0	149.0
P050205003	05	和日配	0502	漬物	050205	酢漬け	230.0	173.0
P050205004	05	和日配	0502	漬物	050205	酢漬け	258.0	194.0
P050205005	05	和日配	0502	漬物	050205	酢漬け	258.0	194.0
P050205006	05	和日配	0502	漬物	050205	酢漬け	298.0	224.0
P050205007	05	和日配	0502	漬物	050205	酢漬け	310.0	233.0
P050205008	05	和日配	0502	漬物	050205	酢漬け	398.0	299.0
P050205009	05	和日配	0502	漬物	050205	酢漬け	548.0	411.0
P050206001	05	和日配	0502	漬物	050206	味噌漬け	198.0	149.0
P050207001	05	和日配	0502	漬物	050207	その他漬物	130.0	98.0
P050207002	05	和日配	0502	漬物	050207	その他漬物	155.0	116.0
P050207003	05	和日配	0502	漬物	050207	その他漬物	155.0	116.0
P050207004	05	和日配	0502	漬物	050207	その他漬物	198.0	149.0
P050207005	05	和日配	0502	漬物	050207	その他漬物	208.0	156.0
P050207006	05	和日配	0502	漬物	050207	その他漬物	208.0	156.0
P050207007	05	和日配	0502	漬物	050207	その他漬物	208.0	156.0
P050207008	05	和日配	0502	漬物	050207	その他漬物	208.0	156.0
P050207009	05	和日配	0502	漬物	050207	その他漬物	270.0	203.0
P050207010	05	和日配	0502	漬物	050207	その他漬物	270.0	203.0
P050207011	05	和日配	0502	漬物	050207	その他漬物	285.0	214.0
P050207012	05	和日配	0502	漬物	050207	その他漬物	288.0	216.0
P050207013	05	和日配	0502	漬物	050207	その他漬物	288.0	216.0
P050207014	05	和日配	0502	漬物	050207	その他漬物	348.0	261.0
P050207015	05	和日配	0502	漬物	050207	その他漬物	355.0	266.0
P050207016	05	和日配	0502	漬物	050207	その他漬物	368.0	276.0
P050207017	05	和日配	0502	漬物	050207	その他漬物	378.0	284.0
P050207018	05	和日配	0502	漬物	050207	その他漬物	378.0	284.0
P050207019	05	和日配	0502	漬物	050207	その他漬物	388.0	291.0
P050207020	05	和日配	0502	漬物	050207	その他漬物	388.0	291.0
P050207021	05	和日配	0502	漬物	050207	その他漬物	388.0	291.0
P050207022	05	和日配	0502	漬物	050207	その他漬物	398.0	299.0
P050207023	05	和日配	0502	漬物	050207	その他漬物	480.0	360.0
P050207024	05	和日配	0502	漬物	050207	その他漬物	498.0	374.0
P050207025	05	和日配	0502	漬物	050207	その他漬物	498.0	374.0
P050207026	05	和日配	0502	漬物	050207	その他漬物	538.0	404.0
P050301001	05	和日配	0503	生麺	050301	生うどん	25.0	19.0
P050301002	05	和日配	0503	生麺	050301	生うどん	65.0	49.0
P050301003	05	和日配	0503	生麺	050301	生うどん	65.0	49.0
P050301004	05	和日配	0503	生麺	050301	生うどん	65.0	49.0
P050301005	05	和日配	0503	生麺	050301	生うどん	70.0	53.0
P050301006	05	和日配	0503	生麺	050301	生うどん	75.0	56.0
P050301007	05	和日配	0503	生麺	050301	生うどん	75.0	56.0
P050301008	05	和日配	0503	生麺	050301	生うどん	78.0	59.0
P050301009	05	和日配	0503	生麺	050301	生うどん	98.0	74.0
P050301010	05	和日配	0503	生麺	050301	生うどん	108.0	81.0
P050301011	05	和日配	0503	生麺	050301	生うどん	120.0	90.0
P050301012	05	和日配	0503	生麺	050301	生うどん	128.0	96.0
P050301013	05	和日配	0503	生麺	050301	生うどん	128.0	96.0
P050301014	05	和日配	0503	生麺	050301	生うどん	138.0	104.0
P050301015	05	和日配	0503	生麺	050301	生うどん	138.0	104.0
P050301016	05	和日配	0503	生麺	050301	生うどん	138.0	104.0
P050301017	05	和日配	0503	生麺	050301	生うどん	138.0	104.0
P050301018	05	和日配	0503	生麺	050301	生うどん	138.0	104.0
P050301019	05	和日配	0503	生麺	050301	生うどん	148.0	111.0
P050301020	05	和日配	0503	生麺	050301	生うどん	158.0	119.0
P050301021	05	和日配	0503	生麺	050301	生うどん	188.0	141.0
P050301022	05	和日配	0503	生麺	050301	生うどん	188.0	141.0
P050301023	05	和日配	0503	生麺	050301	生うどん	188.0	141.0
P050301024	05	和日配	0503	生麺	050301	生うどん	188.0	141.0
P050301025	05	和日配	0503	生麺	050301	生うどん	188.0	141.0
P050301026	05	和日配	0503	生麺	050301	生うどん	198.0	149.0
P050301027	05	和日配	0503	生麺	050301	生うどん	198.0	149.0
P050301028	05	和日配	0503	生麺	050301	生うどん	198.0	149.0
P050301029	05	和日配	0503	生麺	050301	生うどん	198.0	149.0
P050301030	05	和日配	0503	生麺	050301	生うどん	198.0	149.0
P050301031	05	和日配	0503	生麺	050301	生うどん	208.0	156.0
P050301032	05	和日配	0503	生麺	050301	生うどん	228.0	171.0
P050301033	05	和日配	0503	生麺	050301	生うどん	238.0	179.0
P050301034	05	和日配	0503	生麺	050301	生うどん	248.0	186.0
P050301035	05	和日配	0503	生麺	050301	生うどん	248.0	186.0
P050301036	05	和日配	0503	生麺	050301	生うどん	258.0	194.0
P050301037	05	和日配	0503	生麺	050301	生うどん	278.0	209.0
P050301038	05	和日配	0503	生麺	050301	生うどん	278.0	209.0
P050302001	05	和日配	0503	生麺	050302	生そば	80.0	60.0
P050302002	05	和日配	0503	生麺	050302	生そば	95.0	71.0
P050302003	05	和日配	0503	生麺	050302	生そば	158.0	119.0
P050302004	05	和日配	0503	生麺	050302	生そば	250.0	188.0
P050302005	05	和日配	0503	生麺	050302	生そば	298.0	224.0
P050302006	05	和日配	0503	生麺	050302	生そば	298.0	224.0
P050303001	05	和日配	0503	生麺	050303	生ラーメン	75.0	56.0
P050303002	05	和日配	0503	生麺	050303	生ラーメン	105.0	79.0
P050303003	05	和日配	0503	生麺	050303	生ラーメン	128.0	96.0
P050303004	05	和日配	0503	生麺	050303	生ラーメン	128.0	96.0
P050303005	05	和日配	0503	生麺	050303	生ラーメン	130.0	98.0
P050303006	05	和日配	0503	生麺	050303	生ラーメン	138.0	104.0
